Interessado;UF;Tipo de interessado;Tipo de operação;Finalidade;Tipo de credor;Credor;Moeda;Valor;Número do Processo/PVL;Código IBGE;Status;Data
Novo Cabrais;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;250.000,00;17944.000511/2006-78;4313391;Deferido;10/05/2006
Novo Cabrais;RS;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;510.000,00;17944.001078/2011-55;4313391;Deferido;19/03/2012
Novo Cabrais;RS;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco do Brasil S/A;Real;336.150,00;19406.000455/2009-37;4313391;Arquivado a pedido;09/09/2011
Novo Cruzeiro;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;850.000,00;00000.000000/0077-76;3145307;Devolvido;21/10/2011
Novo Cruzeiro;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;5.000.000,00;17944.001524/2011-21;3145307;Deferido;02/05/2012
Novo Cruzeiro;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;850.000,00;17944.001741/2011-11;3145307;Arquivado por decurso de prazo;13/02/2013
Novo Cruzeiro;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;2.500.000,00;17944.001787/2013-01;3145307;Deferido;28/01/2014
Novo Hamburgo;RS;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco do Brasil S/A;Real;656.000,00;00000.000000/0065-14;4313409;Devolvido;05/01/2011
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.341.375,00;00000.000000/0095-45;4313409;Devolvido;10/09/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;13.516.980,00;00000.000000/0095-46;4313409;Devolvido;10/09/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.657.862,73;00000.000000/0095-47;4313409;Devolvido;10/09/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;13.516.980,00;00000.000000/0100-92;4313409;Devolvido;10/10/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.341.375,00;00000.000000/0100-93;4313409;Devolvido;10/10/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.657.862,73;00000.000000/0100-94;4313409;Devolvido;10/10/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;656.000,00;17944.000212/2011-09;4313409;Deferido;02/04/2012
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC - Contrapartida;Instituição Financeira Nacional;Caixa Econômica Federal;Real;7.000.000,00;17944.000376/2012-17;4313409;Deferido;11/04/2012
Novo Hamburgo;RS;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Outras;Pessoa Jurídica;Real;2.500.000,00;17944.000433/2008-73;4313409;Regularizado;04/07/2008
Novo Hamburgo;RS;Município;Operação Contratual Externa (com garantia da União);Infraestrutura;Instituição Financeira Internacional;Banco Interamericano de Desenvolvimento;Dólar dos EUA;23.912.900,00;17944.000989/2011-65;4313409;Deferido;20/08/2012
Novo Hamburgo;RS;Município;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Outras;Pessoa Jurídica;Real;7.546.543,70;17944.001026/2007-01;4313409;Deferido;17/07/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;Renegociação de dívidas;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;2.109.327,58;17944.001073/2007-46;4313409;Deferido;30/08/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;PROMOB;Instituição Financeira Nacional;Caixa Econômica Federal;Real;855.330,90;17944.001246/2007-26;4313409;Deferido;30/08/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;1.210.959,00;17944.001248/2007-15;4313409;Regularizado;30/08/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;8.836.852,50;17944.001281/2011-21;4313409;Deferido;01/12/2011
Novo Hamburgo;RS;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;3.706.766,64;17944.001525/2007-90;4313409;Regularizado;18/06/2010
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.657.862,73;17944.001863/2013-70;4313409;Deferido;20/12/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;5.341.375,00;17944.001866/2013-11;4313409;Deferido;20/12/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;13.516.980,00;17944.001869/2013-47;4313409;Deferido;20/12/2013
Novo Hamburgo;RS;Município;Operação Contratual Interna;Saneamento para Todos;Instituição Financeira Nacional;Caixa Econômica Federal;Real;118.740.046,77;19406.000011/2010-35;4313409;Deferido;01/07/2010
Novo Hamburgo;RS;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Empresa;AES Sul Distribuidora Gaúcha de Energia S/A;Real;21.619.453,00;19406.000014/2010-79;4313409;Regularizado;13/10/2011
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC - Pró-Moradia - 2009;Instituição Financeira Nacional;Caixa Econômica Federal;Real;27.804.600,00;19406.000034/2010-40;4313409;Deferido;01/07/2010
Novo Hamburgo;RS;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;7.546.543,70;19406.000106/2007-53;4313409;Arquivado;17/07/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.800.000,00;19406.000193/2007-49;4313409;Deferido;30/08/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;1.412.786,00;19406.000218/2010-18;4313409;Regularizado;18/06/2010
Novo Hamburgo;RS;Município;Concessão de garantia;Concessão de garantia a empresa estatal não dependente;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;27.450.000,00;19406.000240/2006-73;4313409;Deferido;20/03/2007
Novo Hamburgo;RS;Município;Operação Contratual Interna;RELUZ;Empresa Estatal;Empresa Transmissora de Energia Elétrica do Sul do Brasil S/A;Real;7.153.646,40;19406.000265/2010-53;4313409;Deferido;22/09/2010
Novo Hamburgo;RS;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;2.764.779,00;19406.000276/2003-12;4313409;Deferido;11/02/2004
Novo Hamburgo;RS;Município;Operação Contratual Interna;PAC - Saneamento - 2008 B;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.359.748,00;19406.000414/2008-60;4313409;Arquivado;13/08/2009
Novo Horizonte;SC;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;600.000,00;00000.000000/0105-47;4211652;Devolvido;23/12/2013
Novo Horizonte;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;2.500.000,00;17944.000246/2010-12;2923035;Indeferido;06/04/2010
Novo Horizonte;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;370.000,00;17944.000312/2012-16;4211652;Deferido;08/05/2012
Novo Horizonte;SC;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;600.000,00;17944.000457/2014-71;4211652;Deferido;28/05/2014
Novo Horizonte;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;1.000.000,00;17944.000572/2010-11;2923035;Arquivado por decurso de prazo;24/01/2011
Novo Horizonte;SC;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;126.750,00;17944.000573/2008-41;4211652;Deferido;15/05/2008
Novo Horizonte;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;600.000,00;17944.001074/2013-39;4211652;Deferido;21/10/2013
Novo Horizonte;SP;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;2.456.200,00;17944.001905/2013-72;3533502;Deferido;20/06/2014
Novo Horizonte;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;350.000,00;19406.000075/2007-31;4211652;Deferido;09/05/2007
Novo Horizonte;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;80.000,00;19406.000231/2003-30;4211652;Deferido;18/12/2003
Novo Horizonte;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;160.000,00;19406.000232/2003-84;4211652;Deferido;18/12/2003
Novo Horizonte do Norte;MT;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;62.999,00;17944.000284/2003-38;5106273;Deferido;11/06/2003
Novo Horizonte do Oeste;RO;Município;Operação Contratual Interna;Caminho da Escola 3;Instituição Financeira Nacional;Banco da Amazônia S/A;Real;552.950,00;17944.001241/2008-84;1100502;Arquivado;02/10/2008
Novo Horizonte do Sul;MS;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;216.942,00;17944.001184/2006-71;5006259;Arquivado;18/10/2006
Novo Machado;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;900.000,00;19406.000202/2009-63;4313425;Deferido;14/09/2009
Novo Machado;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;700.000,00;17944.000623/2015-10;4313425;Pendente de correções ou ajustes;02/10/2015
Novo Oriente;CE;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;255.075,00;17944.000124/2008-01;2309409;Arquivado;19/05/2008
Novo Repartimento;PA;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Caixa Econômica Federal;Real;13.500.000,00;17944.000468/2004-89;1505064;Deferido;13/10/2004
Novo São Joaquim;MT;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;216.942,00;17944.000051/2008-40;5106281;Arquivado;16/07/2008
Novo São Joaquim;MT;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Outras;Pessoa Jurídica;Real;76.959,96;17944.000450/2008-19;5106281;Pendente de correções ou ajustes;23/03/2015
Novo São Joaquim;MT;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Outras;Pessoa Jurídica;Real;85.500,00;17944.000451/2008-55;5106281;Pendente de regularização;16/07/2008
Novo Tiradentes;RS;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.000.000,00;17944.000426/2011-77;4313441;Deferido;06/05/2011
Novo Xingu;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;337.238,00;17944.000987/2012-57;4313466;Deferido;10/07/2012
Novo Xingu;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;550.000,00;19406.000131/2009-07;4313466;Deferido;21/08/2009
Novo Xingu;RS;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;BADESUL Desenvolvimento S.A. - Agência de Fomento/RS;Real;250.000,00;19406.000190/2005-43;4313466;Deferido;28/06/2006
Novo Xingu;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;100.000,00;19406.000329/2002-14;4313466;Deferido;29/11/2002
Novo Xingu;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;200.000,00;19406.000355/2007-49;4313466;Deferido;08/11/2007
Oeiras;PI;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;240.750,00;17944.000116/2008-57;2207009;Arquivado por decurso de prazo;15/05/2008
Olaria;MG;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;126.750,00;17944.000698/2008-71;3145406;Deferido;29/07/2008
Olaria;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;214.880,00;17944.001814/2011-75;3145406;Arquivado por decurso de prazo;13/02/2013
Olaria;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;162.636,00;17944.001871/2011-54;3145406;Arquivado por decurso de prazo;06/02/2013
Olho da Água das Flores;AL;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;518.100,00;17944.001028/2008-72;2705705;Arquivado;02/10/2008
Olho da Água do Borges;RN;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;228.000,00;17944.001188/2008-11;2408409;Arquivado;26/08/2008
Olho da Água do Piauí;PI;Município;Operação Contratual Interna;Caminho da Escola 3;Instituição Financeira Nacional;Banco do Brasil S/A;Real;156.564,00;17944.001197/2008-11;2207108;Arquivado;26/08/2008
Olho da Água Grande;AL;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;250.000,00;17944.000967/2008-08;2705903;Arquivado;27/08/2008
Olhos da Água;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;204.000,00;17944.000054/2007-01;3145455;Arquivado;19/07/2007
Olhos da Água;MG;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;172.700,00;17944.000176/2008-70;3145455;Deferido;25/03/2008
Olhos da Água;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;300.000,00;17944.000214/2012-71;3145455;Arquivado por decurso de prazo;08/11/2012
Olhos da Água;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;204.000,00;17944.000674/2007-31;3145455;Arquivado;03/08/2007
Olhos da Água;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;800.000,00;17944.001066/2010-40;3145455;Deferido;15/04/2011
Olímpia;SP;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo;Real;3.000.000,00;17944.001132/2013-24;3533908;Deferido;04/09/2014
Olímpio Noronha;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;300.000,00;17944.000827/2010-46;3145505;Deferido;07/07/2010
Olímpio Noronha;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;200.000,00;17944.000923/2011-75;3145505;Deferido;21/05/2012
Olímpio Noronha;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;400.000,00;17944.000924/2011-10;3145505;Deferido;26/04/2012
Olímpio Noronha;MG;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;198.000,00;17944.001021/2010-75;3145505;Deferido;28/07/2010
Olímpio Noronha;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.150.000,00;17944.001135/2013-68;3145505;Deferido;30/10/2013
Olímpio Noronha;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;250.000,00;17944.001137/2013-57;3145505;Deferido;30/10/2013
Olímpio Noronha;MG;Município;Operação Contratual Interna;Caminho da Escola 4;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;172.700,00;17944.001485/2008-67;3145505;Arquivado;23/10/2008
Olinda;PE;Município;Operação Contratual Interna;PROMOB;Instituição Financeira Nacional;Banco do Brasil S/A;Real;839.261,42;17944.000864/2007-59;2609600;Deferido;28/09/2007
Olinda;PE;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.980.000,00;17944.000866/2007-48;2609600;Deferido;28/09/2007
Olinda;PE;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;1.454.400,00;19407.000010/2002-71;2609600;Deferido;31/07/2002
Olindina;BA;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;330.000,00;17944.000984/2007-56;2923100;Arquivado;04/10/2007
Olindina;BA;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4.046.188,85;17944.001375/2011-09;2923100;Deferido;29/11/2011
Oliveira;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;800.000,00;17944.000788/2007-81;3145604;Deferido;13/07/2007
Oliveira;MG;Município;Operação Contratual Interna;Renegociação de dívidas;Empresa Estatal;Companhia Energética de Minas Gerais S/A;Real;711.675,11;17944.001109/2007-91;3145604;Deferido;13/07/2007
Oliveira;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;450.000,00;17944.001366/2007-23;3145604;Arquivado;10/10/2007
Oliveira;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.050.000,00;17944.001497/2011-97;3145604;Arquivado por decurso de prazo;14/12/2012
Oliveira de Fátima;TO;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;590.920,00;00000.000000/0104-99;1715507;Devolvido;03/12/2013
Oliveira dos Brejinhos;BA;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;4.000.000,00;17944.000243/2015-85;2923209;Deferido;12/03/2015
Oliveira dos Brejinhos;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;170.000,00;17944.000537/2012-64;2923209;Deferido;18/05/2012
Oliveira dos Brejinhos;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;500.000,00;17944.000539/2012-53;2923209;Deferido;18/05/2012
Oliveira dos Brejinhos;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;500.000,00;17944.001376/2010-64;2923209;Deferido;16/03/2011
Oliveira dos Brejinhos;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;55.000,00;17944.001377/2010-17;2923209;Deferido;21/03/2011
Oliveira Fortes;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;192.820,00;17944.001526/2010-30;3145703;Arquivado;31/01/2011
Oratórios;MG;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.250.000,00;17944.000100/2014-92;3145851;Arquivado por decurso de prazo;17/10/2014
Oratórios;MG;Município;Operação Contratual Interna;Aquisição de terrenos, imóveis e/ou construção de instalações;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;500.000,00;17944.000101/2014-37;3145851;Arquivado por decurso de prazo;17/10/2014
Oratórios;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;720.000,00;17944.000729/2010-17;3145851;Deferido;28/06/2010
Orizânia;MG;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;636.000,00;17944.000473/2012-00;3145877;Deferido;14/05/2012
Orizânia;MG;Município;Operação Contratual Interna;Desenvolvimento sustentável;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;132.000,00;19405.000057/2002-54;3145877;Deferido;07/08/2002
Orizânia;MG;Município;Operação Contratual Interna;Fortalecimento Institucional;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;23.300,00;19405.000058/2002-07;3145877;Deferido;07/08/2002
Orlândia;SP;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;507.850,00;17944.000337/2004-00;3534302;Deferido;21/05/2004
Orlândia;SP;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.250.000,00;17944.001482/2009-12;3534302;Arquivado;24/01/2011
Orlândia;SP;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Outras;Pessoa Jurídica;Real;1.120.285,27;17944.001483/2009-59;3534302;Regularizado;21/09/2010
Orlândia;SP;Município;Operação Contratual Interna;Regularização de Dívida - Outros;Outras;Pessoa Jurídica;Real;463.937,00;17944.001486/2009-92;3534302;Regularizado;21/09/2010
Orlândia;SP;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica;Empresa;Companhia Paulista de Força e Luz;Real;1.711.620,90;17944.001488/2009-81;3534302;Regularizado;20/09/2010
Orleans;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;2.500.000,00;17944.000558/2013-61;4211702;Deferido;23/07/2013
Orleans;SC;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;481.500,00;19406.000046/2008-50;4211702;Deferido;08/04/2008
Orleans;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;301.000,00;19406.000161/2002-39;4211702;Deferido;11/09/2002
Orleans;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;546.000,00;19406.000237/2008-11;4211702;Deferido;08/04/2008
Orleans;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.260.000,00;19406.000547/2007-55;4211702;Deferido;28/12/2007
Orobó;PE;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;604.000,00;17944.000843/2008-14;2609709;Arquivado;12/03/2009
Ortigueira;PR;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco Regional de Desenvolvimento do Extremo Sul;Real;719.600,00;19406.000011/2008-11;4117305;Deferido;24/04/2008
Ortigueira;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.300.000,00;19406.000180/2002-65;4117305;Deferido;09/08/2002
Ortigueira;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco Regional de Desenvolvimento do Extremo Sul;Real;719.600,00;19406.000342/2008-51;4117305;Arquivado por decurso de prazo;23/04/2008
Ortigueira;PR;Município;Operação Contratual Interna;Aquisição de terrenos, imóveis e/ou construção de instalações;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;120.000,00;19406.000502/2006-08;4117305;Deferido;31/07/2006
Ortigueira;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;95.000,00;19406.000541/2006-05;4117305;Deferido;27/12/2006
Ortigueira;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.250.000,00;19406.000593/2006-73;4117305;Deferido;27/12/2006
Osasco;SP;Município;Operação Contratual Interna;PAC - Saneamento - 2009 A;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;31.035.429,86;00000.000000/0056-94;3534401;Devolvido;27/05/2010
Osasco;SP;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;25.652.520,00;00000.000000/0056-95;3534401;Devolvido;27/05/2010
Osasco;SP;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;8.057.566,00;17944.000754/2004-44;3534401;Indeferido;02/07/2004
Osasco;SP;Município;Operação Contratual Interna;PAC - Saneamento - 2009 A;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;31.035.429,76;17944.000854/2010-19;3534401;Arquivado;14/12/2010
Osasco;SP;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;25.652.520,00;17944.000877/2010-23;3534401;Deferido;30/09/2010
